source,name,rating,price,location
Booking,Maritim Hotel Stuttgart,8.3,"US$776 - 5 nights, 1 adult",N/A
Booking,Park Inn by Radisson Stuttgart,8.3,"US$596 - 5 nights, 1 adult",N/A
Booking,Le Méridien Stuttgart,8.5,"US$1,082 - 5 nights, 1 adult",N/A
Booking,Novum Hotel Boulevard Stuttgart City,7.1,"US$320 - 5 nights, 1 adult",N/A
Booking,Arthotel ANA Neotel,8.0,"US$344 - 5 nights, 1 adult",N/A
Booking,Jaz in the City Stuttgart,8.9,"US$784 - 5 nights, 1 adult",N/A
Booking,Mövenpick Hotel Stuttgart Airport,9.0,"US$602 - 5 nights, 1 adult",N/A
Booking,a&o Stuttgart City,7.6,"US$88 - 5 nights, 1 adult",N/A
Booking,Hotel Unger,8.5,"US$571 - 5 nights, 1 adult",N/A
Booking,Pullman Stuttgart Fontana,8.0,"US$491 - 5 nights, 1 adult",N/A
Booking,,, - ,N/A
Booking,Wyndham Stuttgart Airport Messe,8.4,"US$525 - 5 nights, 1 adult",N/A
Booking,ibis Styles Stuttgart,8.5,"US$405 - 5 nights, 1 adult",N/A
Booking,Motel One Stuttgart,8.5,"US$423 - 5 nights, 1 adult",N/A
Booking,DORMERO Hotel Stuttgart,7.8,"US$460 - 5 nights, 1 adult",N/A
Booking,Steigenberger Graf Zeppelin,8.4,"US$947 - 5 nights, 1 adult",N/A
Booking,Motel One Stuttgart-Bad Cannstatt,8.8,"US$485 - 5 nights, 1 adult",N/A
Booking,ibis Hotel Stuttgart City,7.8,"US$470 - 5 nights, 1 adult",N/A
Booking,ibis Styles Stuttgart Vaihingen,8.4,"US$358 - 5 nights, 1 adult",N/A
Booking,Mercure Stuttgart Zuffenhausen,7.7,"US$353 - 5 nights, 1 adult",N/A
Booking,B&B Hotel Stuttgart-Zuffenhausen,8.4,"US$410 - 5 nights, 1 adult",N/A
Booking,B&B Hotel Stuttgart-Bad Cannstatt,8.2,"US$390 - 5 nights, 1 adult",N/A
Booking,Best Western loftstyle Hotel Stuttgart-Zuffenhausen,8.1,"US$384 - 5 nights, 1 adult",N/A
Booking,B&B Hotel Stuttgart-Vaihingen,8.3,"US$344 - 5 nights, 1 adult",N/A
Booking,B&B Hotel Stuttgart-Airport/Messe,8.5,"US$405 - 5 nights, 1 adult",N/A
Booking,B&B Hotel Stuttgart-City,8.1,"US$368 - 5 nights, 1 adult",N/A
